customer_id,avg_order_value,purchase_frequency,recency_days,category_affinity_score
CUST00001,113.0,13,51,0.166
CUST00002,26.0,5,134,0.012
CUST00003,57.0,15,55,0.142
CUST00004,191.0,11,46,0.245
CUST00005,239.0,30,21,0.379
CUST00006,282.0,42,25,0.438
CUST00007,382.0,67,9,0.954
CUST00008,28.0,1,79,0.011
CUST00009,52.0,15,63,0.107
CUST00010,67.0,18,83,0.081
CUST00011,379.0,76,9,0.922
CUST00012,29.0,6,131,0.042
CUST00013,64.0,18,48,0.088
CUST00014,188.0,62,11,0.481
CUST00015,268.0,47,16,0.288
CUST00016,285.0,55,16,0.372
CUST00017,120.0,29,44,0.261
CUST00018,115.0,37,35,0.222
CUST00019,151.0,36,41,0.143
CUST00020,164.0,59,15,0.221
CUST00021,56.0,16,39,0.049
CUST00022,214.0,50,27,0.516
CUST00023,265.0,64,28,0.351
CUST00024,137.0,29,40,0.115
CUST00025,178.0,10,39,0.298
CUST00026,99.0,5,70,0.076
CUST00027,295.0,48,15,0.483
CUST00028,108.0,15,38,0.102
CUST00029,197.0,30,43,0.183
CUST00030,215.0,62,4,0.839
CUST00031,91.0,18,41,0.045
CUST00032,230.0,44,25,0.591
CUST00033,210.0,63,14,0.605
CUST00034,24.0,5,76,0.016
CUST00035,40.0,2,141,0.026
CUST00036,73.0,12,85,0.044
CUST00037,159.0,26,35,0.183
CUST00038,229.0,62,12,0.559
CUST00039,106.0,13,59,0.043
CUST00040,183.0,10,23,0.207
CUST00041,156.0,67,15,0.553
CUST00042,199.0,34,29,0.118
CUST00043,246.0,52,12,0.738
CUST00044,30.0,5,171,0.027
CUST00045,295.0,68,14,0.317
CUST00046,87.0,12,61,0.088
CUST00047,140.0,17,37,0.138
CUST00048,122.0,37,21,0.286
CUST00049,158.0,38,57,0.113
CUST00050,291.0,58,20,0.512
CUST00051,17.0,5,161,0.045
CUST00052,88.0,7,52,0.139
CUST00053,46.0,4,68,0.021
CUST00054,28.0,1,93,0.026
CUST00055,106.0,10,38,0.221
CUST00056,35.0,9,135,0.032
CUST00057,222.0,83,10,0.551
CUST00058,266.0,53,18,0.512
CUST00059,397.0,54,1,0.971
CUST00060,198.0,39,40,0.106
CUST00061,128.0,27,34,0.2
CUST00062,262.0,40,21,0.456
CUST00063,68.0,11,74,0.111
CUST00064,139.0,27,47,0.296
CUST00065,181.0,42,24,0.322
CUST00066,147.0,23,47,0.185
CUST00067,193.0,66,22,0.276
CUST00068,106.0,7,66,0.091
CUST00069,231.0,50,9,0.769
CUST00070,37.0,8,150,0.017
CUST00071,57.0,11,43,0.092
CUST00072,165.0,44,27,0.455
CUST00073,200.0,50,11,0.776
CUST00074,83.0,15,79,0.09
CUST00075,75.0,14,44,0.043
CUST00076,58.0,14,36,0.157
CUST00077,112.0,12,72,0.131
CUST00078,311.0,98,6,0.935
CUST00079,113.0,11,21,0.256
CUST00080,280.0,55,13,0.537
CUST00081,47.0,6,173,0.021
CUST00082,114.0,6,44,0.042
CUST00083,108.0,10,20,0.181
CUST00084,389.0,60,8,0.76
CUST00085,120.0,25,58,0.294
CUST00086,152.0,30,45,0.142
CUST00087,114.0,16,48,0.154
CUST00088,55.0,18,64,0.146
CUST00089,20.0,2,123,0.06
CUST00090,160.0,38,41,0.251
CUST00091,219.0,34,23,0.299
CUST00092,115.0,10,73,0.128
CUST00093,67.0,14,49,0.158
CUST00094,120.0,30,57,0.199
CUST00095,64.0,10,43,0.066
CUST00096,149.0,16,35,0.138
CUST00097,195.0,20,48,0.235
CUST00098,181.0,37,29,0.213
CUST00099,268.0,56,1,0.614
CUST00100,187.0,58,27,0.234
CUST00101,297.0,94,13,0.999
CUST00102,68.0,11,48,0.076
CUST00103,160.0,17,42,0.231
CUST00104,149.0,19,37,0.234
CUST00105,32.0,1,108,0.033
CUST00106,156.0,61,17,0.35
CUST00107,174.0,20,28,0.201
CUST00108,74.0,18,57,0.133
CUST00109,167.0,63,23,0.495
CUST00110,227.0,87,2,0.507
CUST00111,227.0,65,23,0.358
CUST00112,218.0,60,13,0.201
CUST00113,46.0,7,155,0.052
CUST00114,116.0,14,44,0.11
CUST00115,78.0,11,50,0.083
CUST00116,13.0,4,144,0.049
CUST00117,93.0,17,48,0.108
CUST00118,190.0,63,19,0.582
CUST00119,45.0,1,64,0.017
CUST00120,124.0,14,34,0.144
CUST00121,63.0,14,31,0.108
CUST00122,32.0,7,94,0.055
CUST00123,145.0,38,31,0.297
CUST00124,155.0,43,13,0.297
CUST00125,229.0,62,27,0.393
CUST00126,199.0,25,51,0.206
CUST00127,107.0,13,35,0.153
CUST00128,11.0,3,122,0.04
CUST00129,221.0,90,2,0.763
CUST00130,144.0,24,30,0.271
CUST00131,113.0,15,59,0.192
CUST00132,191.0,39,21,0.531
CUST00133,239.0,65,18,0.273
CUST00134,100.0,14,23,0.251
CUST00135,10.0,4,143,0.028
CUST00136,133.0,29,31,0.257
CUST00137,149.0,26,22,0.242
CUST00138,81.0,17,67,0.148
CUST00139,181.0,20,50,0.126
